"","Species","rMax","MassKG","Log10MassKG","Herbivory"
"16","Addax nasomaculatus","0.276675959218633","94.28868",1.9744595558483,1
"17","Aepyceros melampus","0.340941462099773","52.5",1.72015930340596,1
"18","Aepyprymnus rufescens","0.412588195051575","2.82",0.450249108319361,1
"24","Alcelaphus buselaphus","0.300249794474275","159",2.20139712432045,1
"25","Alces alces","0.333320666830731","351",2.54530711646582,1
"36","Ammotragus lervia","0.46413410161569","92.5",1.96614173273903,1
"42","Antidorcas marsupialis","0.448718610977582","33.57124",1.52596738280928,1
"43","Antilocapra americana","0.604006310065083","45.375",1.65681663804417,1
"44","Antilope cervicapra","0.352266710456495","37.5",1.57403126772772,1
"98","Beatragus hunteri","0.323279302353312rmaxmaxmax","119",2.07554696139253,1
"103","Bison bison","0.273085304179218","624.57707",2.79558603600166,1
"104","Bison bonasus","0.274636650043837","624.57707",2.79558603600166,1
"106","Bos javanicus","0.342846699276106","683.333335",2.83463260739535,1
"107","Bos sauveli","0.2957160323821","795.66088",2.90072800577028,1
"115","Bubalus mindorensis","0.305567110635516","243.861535",2.38714330316468,1
"116","Bubalus quarlesi","0.305534099623181","165.85943",2.21974016853286,1
"117","Budorcas taxicolor","0.313053876664351","294.51533",2.46910790544275,1
"136","Capra caucasica","0.295139162381806","69.54683",1.84227733929021,1
"137","Capra falconeri","0.461656952025712","41",1.61278385671974,1
"138","Capra ibex","0.31868685699394","77pewpewpew",1.88649072517248,1
"139","Capra nubiana","0.304482617780537","70.523415",1.84833333425329,1
"140","Capra sibirica","0.332048097811562","82.5",1.91645394854993,1
"141","Capra walie","0.307418242480421","80",1.90308998699194,1
"142","Capreolus capreolus","0.525369153894889","21.666685",1.33579246940298,1
"143","Capreolus pygargus","0.638842811893779","21.6667",1.33579277006804,1
"145","Capricornis milneedwardsii","0.280201131699938","95",1.97772360528885,1
"146","Capricornis rubidus","0.280201131699938","95",1.97772360528885,1
"147","Capricornis sumatraensis","0.299610215594637rmaxmaxmax","95pewpewpew",1.97772360528885,1
"149","Capricornis thar","0.280201131699938","95",1.97772360528885,1
"182","Cervus elaphus","0.294514938246285","160.166665",2.20457213276571,1
"183","Cervus nippon","0.306227008175253","52.99999",1.72427578765843,1
"223","Connochaetes gnou","0.296449636729941rmaxmaxmax","132.25",2.12139568070722,1
